id,loyalty,frequency,money,L,F,M,LFM
1958,1.123772279,3.283804563,1651.3,,,,
1959,0.79101408,3.283418993,377.1666667,,,,
1960,0.926698174,3.282739187,801.875,,,,
1961,0.960984048,3.282559823,241.3333333,,,,
1962,0.474619711,3.282546457,315.75,,,,
1963,0.928037334,3.28222635,673.5714286,,,,
1964,0.756715853,3.282173362,505.5,,,,
1965,0.798849656,3.281284049,391.6,,,,
1966,0.865988309,3.280209823,266,,,,
1967,0.90068452,3.279141369,742.3333333,,,,
1968,0.841255153,3.279082111,288.5,,,,
1969,1.187789524,3.278516997,374.5,,,,
1970,0.711136396,3.27838117,476.2,,,,
1971,0.517673369,3.277991183,720,,,,
1972,0.703853598,3.277885702,293.375,,,,
1973,0.651366785,3.276663559,356,,,,
1974,0.557320403,3.276287649,329.875,,,,
1975,0.892083397,3.273455792,319.7142857,,,,
1976,0.994332306,3.271372398,1098,,,,
1977,0.961600103,3.27136492,311,,,,
1978,1.078431373,3.270180433,245,,,,
1979,0.53030303,3.270027705,735,,,,
1980,0.710088584,3.26998326,607.875,,,,
1981,0.510047945,3.26971335,367,,,,
1982,0.88524953,3.26960681,402.375,,,,
1983,0.687096331,3.268853149,405,,,,
1984,1.09545023,3.268547355,295,,,,
1985,0.9258402,3.268447604,553.5,,,,
1986,0,3.268405017,405.8,,,,
1987,0.988924051,3.268222637,585,,,,
1988,0.861742098,3.267455969,418.6,,,,
1989,0.685459686,3.267078236,522,,,,
1990,1.168614357,3.266962447,253.2857143,,,,
1991,0.776804614,3.265480706,521,,,,
1992,0.844987114,3.26466328,269.25,,,,
1993,0.276992964,3.264058504,446,,,,
1994,1.159259002,3.26252881,330.7,,,,
1995,0.964273661,3.261923248,921.25,,,,
1996,0.999933338,3.261397176,237.6666667,,,,
1997,0.777363184,3.261315428,780.8888889,,,,
1998,1.127819549,3.261111368,438.6666667,,,,
1999,0.990014992,3.26049984,376,,,,
2000,1.117318436,3.259401872,366.5,,,,
2001,0.925668796,3.259396046,266,,,,
2002,0.57663476,3.25923034,488.8,,,,
2003,1.005752907,3.257732328,707.2,,,,
2004,0.626707779,3.257538443,207.8,,,,
2005,0.566091141,3.256936632,355.8333333,,,,
2006,0.827951648,3.256571477,418,,,,
2007,0.932922847,3.256549939,246.5,,,,
2008,0.852605776,3.255473246,337.5,,,,
2009,0,3.25420216,434,,,,
2010,0,3.252320027,291.5454545,,,,
2011,1.081022647,3.252316261,289,,,,
2012,0.58361217,3.251018094,304.2222222,,,,
2013,1.000377921,3.250761355,416,,,,
2014,0.665402402,3.249809599,304,,,,
2015,0.676433072,3.24959799,621.1428571,,,,
2016,0.722282412,3.24917736,402.8333333,,,,
2017,0.941366326,3.247833912,247.2857143,,,,
2018,0.707253593,3.246286748,395.6,,,,
2019,0.788171128,3.245202562,329,,,,
2020,0.804634696,3.244992249,425,,,,
2021,0.921885563,3.244503758,408.6666667,,,,
2022,0.837857765,3.244121777,341,,,,
2023,0.440693652,3.243448276,245,,,,
2024,0.973188653,3.241027017,518.75,,,,
2025,0.879971841,3.240204368,522.5,,,,
2026,0,3.23931685,296.5,,,,
2027,0.877616394,3.239196102,210.75,,,,
2028,0.435363093,3.238083281,328.1666667,,,,
2029,0.812668338,3.237885829,734,,,,
2030,0.961538462,3.237580906,542,,,,
2031,1.193982329,3.237454504,465.3333333,,,,
2032,1.061007958,3.237211932,533.125,,,,
2033,0,3.23683305,330,,,,
2034,0.903636232,3.235900576,398.8,,,,
2035,0.704197014,3.235846874,508.2857143,,,,
2036,0.502748358,3.2356533,188,,,,
2037,0,3.234653991,252.25,,,,
2038,0.542740841,3.234209677,300.5,,,,
2039,0.968548586,3.233277297,272.1818182,,,,
2040,1.014867813,3.232739734,336.25,,,,
2041,0,3.23269515,648.2,,,,
2042,1.10631707,3.232017815,378.3333333,,,,
2043,0.8526603,3.231504884,593,,,,
2044,0.883392226,3.231399811,508.5,,,,
2045,0,3.230711884,1170.666667,,,,
2046,0,3.230257696,307.75,,,,
2047,0.877192982,3.228290372,284.4,,,,
2048,0.886110619,3.228166248,284.1818182,,,,
2049,1.171875,3.22789005,310.5,,,,
2050,0,3.227334623,248,,,,
2051,1.001401963,3.226617469,344,,,,
2052,0,3.224359384,245,,,,
2053,0.741619697,3.223514637,901.8571429,,,,
2054,0.912575287,3.223475642,329.5,,,,
2055,0.69051236,3.223019755,326,,,,
2056,0,3.222496074,282,,,,
2057,0.981739643,3.221871463,313.25,,,,
2058,0,3.221608038,500,,,,
2059,1.059122576,3.220619427,258.1111111,,,,
2060,0.768114705,3.220322431,734.6666667,,,,
2061,0.890551251,3.220274266,413,,,,
2062,0.703970393,3.217496829,1148.428571,,,,
2063,0.665114732,3.216769818,530.75,,,,
2064,0.535475234,3.216658462,972.5,,,,
2065,0,3.216596498,188,,,,
2066,0.818263645,3.216351943,793.125,,,,
2067,1.004545569,3.216132572,603.25,,,,
2068,0.657860113,3.215675237,795.8,,,,
2069,1.003590624,3.214079825,535.8888889,,,,
2070,0.45918953,3.213358355,265,,,,
2071,0.625524994,3.212410702,325,,,,
2072,0.496557203,3.212148274,303.3333333,,,,
2073,0.966706624,3.212039545,439.6,,,,
2074,0.909697374,3.211671191,313,,,,
2075,0.861941585,3.21166964,521,,,,
2076,0.870524055,3.211513117,395.2222222,,,,
2077,1.072961373,3.211489378,312.4,,,,
2078,0.970647616,3.210788038,341.8,,,,
2079,1.010713564,3.209350075,558,,,,
2080,0.954502068,3.208444842,330.6666667,,,,
2081,0.869565217,3.206973001,385.125,,,,
2082,0.684203324,3.206679736,293.2307692,,,,
2083,0.901989789,3.205310233,245,,,,
